sample_index,mean_trace,std_trace
669,-0.045051806,0.0038839036
670,0.36536935,0.004265392
671,0.12505332,0.0039669513
672,-0.3497772,0.0040013017
673,-0.2502531,0.0052276477
674,0.24103491,0.004818982
675,0.052922558,0.0038167166
676,-0.3727749,0.0040623886
677,-0.2577792,0.0054160696
678,0.23787075,0.0049549304
679,0.053992823,0.004177414
680,-0.38071886,0.0040678955
681,-0.2670656,0.005527773
682,0.23610708,0.004772721
683,0.05567246,0.0038130821
684,-0.33787906,0.00409956
685,-0.05311035,0.0035680737
686,0.36863512,0.003987207
687,0.13435562,0.003821564
688,-0.27290317,0.003760196
689,-0.01494834,0.003487529
690,0.39111215,0.003931629
691,0.1471669,0.0037355674
692,-0.27323472,0.003936342
693,-0.020640234,0.0038632788
694,0.38473448,0.004223565
695,0.14351943,0.0039521297
696,-0.28328058,0.0037205284
697,-0.023415234,0.0034706148
698,0.38328183,0.0040851505
699,0.14151514,0.0034601656
700,-0.285882,0.0038813702
701,-0.027134864,0.0036779076
702,0.37985274,0.0041033947
703,0.13770449,0.0036726678
704,-0.29643974,0.0038995238
705,-0.03479702,0.0037877378
706,0.37460947,0.0042395433
707,0.13336484,0.0039096233
708,-0.2822373,0.0038473906
709,-0.026356397,0.0034464158
710,0.37861368,0.0040676557
711,0.13471533,0.003741128
712,-0.31392568,0.004037282
713,-0.21955313,0.005415856
714,0.25781518,0.0046409606
715,0.061920214,0.0037555292
716,-0.32496014,0.0038444793
717,-0.051431835,0.0035224918
718,0.3628072,0.0040804297
719,0.124592185,0.003689075
720,-0.30649975,0.004024826
721,-0.04307588,0.003552982
722,0.3667631,0.0041009826
723,0.12611225,0.0036747323
724,-0.34868482,0.0039434535
725,-0.24853876,0.004717425
726,0.24148257,0.0047373
727,0.053431153,0.0037528425
728,-0.37063047,0.0040503903
729,-0.25575063,0.0053231996
730,0.23876826,0.0047711544
731,0.054642335,0.0040361155
732,-0.380115,0.004127569
733,-0.26621616,0.00562197
734,0.23650937,0.00465531
735,0.055994093,0.003815703
736,-0.33708996,0.003771425
737,-0.052444823,0.0035609484
738,0.36905274,0.004132112
739,0.13450538,0.0037964622
740,-0.2726455,0.0038439005
741,-0.014838623,0.0034851197
742,0.39138168,0.003965949
743,0.14724092,0.0037016813
744,-0.27235812,0.0039555137
745,-0.0202104,0.0033350887
746,0.38490734,0.004232907
747,0.14378373,0.003558614
748,-0.28201044,0.0038041843
749,-0.022696191,0.0033519794
750,0.38375658,0.004014102
751,0.14161211,0.0036029587
752,-0.2822651,0.0037847848
753,-0.024628662,0.003475131
754,0.3814897,0.0038071035
755,0.13848017,0.0037025362
756,-0.29431915,0.0041369842
757,-0.033441454,0.003994683
758,0.375187,0.0042086355
759,0.13358828,0.0037210798
760,-0.28183374,0.003781669
761,-0.026305517,0.0036993192
762,0.37853363,0.0042549856
763,0.1343975,0.0037244824
764,-0.3144626,0.004076184
765,-0.21928906,0.0052837287
766,0.2574342,0.0045612333
767,0.06178926,0.0035524524
768,-0.32647184,0.0038920327
769,-0.052253515,0.0036867978
770,0.36204204,0.004135369
771,0.123998925,0.0036079704
772,-0.30815855,0.004055869
773,-0.04432402,0.0038203164
774,0.36584467,0.0041063684
775,0.12545523,0.0037464253
776,-0.34946635,0.0039727692
777,-0.24902496,0.00506531
778,0.2416415,0.004655175
779,0.053454638,0.004296005
780,-0.3716134,0.004228686
781,-0.25615156,0.0055302638
782,0.23868081,0.0049451757
783,0.05456328,0.004163927
784,-0.38085395,0.0040087025
785,-0.26619506,0.005341164
786,0.23641846,0.0046789777
787,0.05604556,0.0038728323
788,-0.33850572,0.003919101
789,-0.053200245,0.004095034
790,0.36836353,0.0041068736
791,0.1339748,0.0037578347
792,-0.27296728,0.0038891376
793,-0.015053565,0.0037788614
794,0.39131185,0.0042632506
795,0.14722027,0.0038819462
796,-0.27335048,0.0037354522
797,-0.02080918,0.0035973277
798,0.38446388,0.004295798
799,0.14346875,0.0034098155
800,-0.2829049,0.003738081
801,-0.023209961,0.0036857473
802,0.38356364,0.004099956
803,0.14152549,0.003786281
804,-0.28246292,0.003995551
805,-0.024694141,0.0036978717
806,0.38136426,0.0041774
807,0.13858365,0.003722193
808,-0.29335922,0.0036820397
809,-0.032766603,0.0034945817
810,0.3756554,0.004112058
811,0.13387787,0.0037660692
812,-0.2828536,0.0039093457
813,-0.026881298,0.0033737347
